Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
1,2023,SP,Kodai Senga,30,12,7,0.632,2.98,29,29,0,0,0,0,166.1,126,60,55,17,77,0,202,5,1,14,694,142,3.63,1.22,6.8,0.9,4.2,10.9,2.62,Right,No
2,2023,SP,Tylor Megill,27,9,8,0.529,4.7,25,25,0,0,0,0,126.1,141,76,66,18,58,0,105,6,0,8,567,90,4.96,1.575,10.0,1.3,4.1,7.5,1.81,Right,No
3,2023,SP,David Peterson,27,3,8,0.273,5.03,27,21,0,1,0,0,111.0,124,64,62,16,50,0,128,6,0,6,492,84,4.34,1.568,10.1,1.3,4.1,10.4,2.56,Left,No
4,2023,SP,Max Scherzer,38,9,4,0.692,4.01,19,19,0,0,0,0,107.2,98,49,48,23,30,0,121,3,0,1,444,105,4.7,1.189,8.2,1.9,2.5,10.1,4.03,Right,No
5,2023,SP,Justin Verlander,40,6,5,0.545,3.15,16,16,0,0,0,0,94.1,77,36,33,9,31,0,81,1,0,3,386,134,3.8,1.145,7.3,0.9,3.0,7.7,2.61,Right,No
6,2023,SP,Carlos Carrasco,36,3,8,0.273,6.8,20,20,0,0,0,0,90.0,115,71,68,18,38,0,66,6,1,3,417,62,5.86,1.7,11.5,1.8,3.8,6.6,1.74,Right,No
7,2023,CL,David Robertson,38,4,2,0.667,2.05,40,0,26,0,0,14,44.0,31,13,10,5,13,1,48,2,0,4,172,207,3.57,1.0,6.3,1.0,2.7,9.8,3.69,Right,No
8,2023,RP,Adam Ottavino,37,1,7,0.125,3.21,66,0,36,0,0,12,61.2,46,24,22,7,29,3,62,8,3,5,261,132,4.52,1.216,6.7,1.0,4.2,9.0,2.14,Right,No
9,2023,RP,Drew Smith,29,4,6,0.4,4.15,62,0,16,0,0,3,56.1,50,31,26,7,29,0,60,5,0,2,244,102,4.55,1.402,8.0,1.1,4.6,9.6,2.07,Right,No
10,2023,RP,Brooks Raley,35,1,2,0.333,2.8,66,0,11,0,0,3,54.2,44,19,17,4,25,3,61,6,0,0,236,151,3.68,1.262,7.2,0.7,4.1,10.0,2.44,Left,No
